Region,Division,State,year,num_crimes
South,West South Central,Texas,1973,45458
West,Mountain,Utah,1973,2412
Northeast,New England,Vermont,1973,327
South,South Atlantic,Virginia,1973,16007
West,Pacific,Washington,1973,9309
South,South Atlantic,West Virginia,1973,2219
Midwest,East North Central,Wisconsin,1973,5273
West,Mountain,Wyoming,1973,763
South,East South Central,Alabama,1974,13338
West,Pacific,Alaska,1974,1527
West,Mountain,Arizona,1974,12202
South,West South Central,Arkansas,1974,6521
West,Pacific,California,1974,127658
West,Mountain,Colorado,1974,10728
Northeast,New England,Connecticut,1974,7045
South,South Atlantic,Delaware,1974,2539
South,South Atlantic,District of Columbia,1974,11590
South,South Atlantic,Florida,1974,54821
South,South Atlantic,Georgia,1974,21587
West,Pacific,Hawaii,1974,1762
West,Mountain,Idaho,1974,1465
Midwest,East North Central,Illinois,1974,69806
Midwest,East North Central,Indiana,1974,15631
Midwest,West North Central,Iowa,1974,3455
Midwest,West North Central,Kansas,1974,6272
South,East South Central,Kentucky,1974,7857
South,West South Central,Louisiana,1974,17794
Northeast,New England,Maine,1974,1440
South,South Atlantic,Maryland,1974,29439
Northeast,New England,Massachusetts,1974,22545
Midwest,East North Central,Michigan,1974,59993
Midwest,West North Central,Minnesota,1974,8119
South,East South Central,Mississippi,1974,7782
Midwest,West North Central,Missouri,1974,21612
West,Mountain,Montana,1974,1194
Midwest,West North Central,Nebraska,1974,3697
West,Mountain,Nevada,1974,3910
Northeast,New England,New Hampshire,1974,739
Northeast,Middle Atlantic,New Jersey,1974,29568
West,Mountain,New Mexico,1974,5053
Northeast,Middle Atlantic,New York,1974,145427
South,South Atlantic,North Carolina,1974,26220
Midwest,West North Central,North Dakota,1974,319
Midwest,East North Central,Ohio,1974,39094
South,West South Central,Oklahoma,1974,7588
West,Pacific,Oregon,1974,8326
Northeast,Middle Atlantic,Pennsylvania,1974,37281
Northeast,New England,Rhode Island,1974,2651
South,South Atlantic,South Carolina,1974,12688
Midwest,West North Central,South Dakota,1974,1234
South,East South Central,Tennessee,1974,15969
South,West South Central,Texas,1974,47008
West,Mountain,Utah,1974,2517
Northeast,New England,Vermont,1974,353
South,South Atlantic,Virginia,1974,17514
West,Pacific,Washington,1974,12036
South,South Atlantic,West Virginia,1974,2460
Midwest,East North Central,Wisconsin,1974,6411
West,Mountain,Wyoming,1974,519
South,East South Central,Alabama,1975,14201
West,Pacific,Alaska,1975,1900
West,Mountain,Arizona,1975,12184
South,West South Central,Arkansas,1975,7369
West,Pacific,California,1975,138842
West,Mountain,Colorado,1975,11735
Northeast,New England,Connecticut,1975,8308
South,South Atlantic,Delaware,1975,2270
South,South Atlantic,District of Columbia,1975,12704
South,South Atlantic,Florida,1975,57540
South,South Atlantic,Georgia,1975,22608
West,Pacific,Hawaii,1975,1889
West,Mountain,Idaho,1975,1670
Midwest,East North Central,Illinois,1975,74699
Midwest,East North Central,Indiana,1975,17677
Midwest,West North Central,Iowa,1975,4039
Midwest,West North Central,Kansas,1975,6307
South,East South Central,Kentucky,1975,8967
South,West South Central,Louisiana,1975,18137
Northeast,New England,Maine,1975,2324
South,South Atlantic,Maryland,1975,29087
Northeast,New England,Massachusetts,1975,25793
Midwest,East North Central,Michigan,1975,62792
Midwest,West North Central,Minnesota,1975,8125
South,East South Central,Mississippi,1975,7411
Midwest,West North Central,Missouri,1975,23521
West,Mountain,Montana,1975,1418
Midwest,West North Central,Nebraska,1975,3986
West,Mountain,Nevada,1975,4018
Northeast,New England,New Hampshire,1975,816
Northeast,Middle Atlantic,New Jersey,1975,30215
West,Mountain,New Mexico,1975,6134
Northeast,Middle Atlantic,New York,1975,155187
South,South Atlantic,North Carolina,1975,23791
Midwest,West North Central,North Dakota,1975,337
Midwest,East North Central,Ohio,1975,43901
South,West South Central,Oklahoma,1975,8225
West,Pacific,Oregon,1975,10034
Northeast,Middle Atlantic,Pennsylvania,1975,38933
Northeast,New England,Rhode Island,1975,2802
South,South Atlantic,South Carolina,1975,14412
Midwest,West North Central,South Dakota,1975,1402
South,East South Central,Tennessee,1975,16627
South,West South Central,Texas,1975,47803
West,Mountain,Utah,1975,2795
Northeast,New England,Vermont,1975,448
South,South Atlantic,Virginia,1975,18917
West,Pacific,Washington,1975,13851
South,South Atlantic,West Virginia,1975,2915
Midwest,East North Central,Wisconsin,1975,6992
West,Mountain,Wyoming,1975,764
South,East South Central,Alabama,1976,14248
West,Pacific,Alaska,1976,2063
West,Mountain,Arizona,1976,10335
South,West South Central,Arkansas,1976,6410
West,Pacific,California,1976,144041
West,Mountain,Colorado,1976,10770
Northeast,New England,Connecticut,1976,8516
South,South Atlantic,Delaware,1976,1872
South,South Atlantic,District of Columbia,1976,10399
South,South Atlantic,Florida,1976,54597
South,South Atlantic,Georgia,1976,21030
West,Pacific,Hawaii,1976,2034
West,Mountain,Idaho,1976,1884
Midwest,East North Central,Illinois,1976,70266
Midwest,East North Central,Indiana,1976,16721
Midwest,West North Central,Iowa,1976,3813
Midwest,West North Central,Kansas,1976,6529
South,East South Central,Kentucky,1976,8987
South,West South Central,Louisiana,1976,18161
Northeast,New England,Maine,1976,2354
South,South Atlantic,Maryland,1976,26249
Northeast,New England,Massachusetts,1976,23190
Midwest,East North Central,Michigan,1976,58814
Midwest,West North Central,Minnesota,1976,7492
South,East South Central,Mississippi,1976,6954
Midwest,West North Central,Missouri,1976,21470
West,Mountain,Montana,1976,1358
Midwest,West North Central,Nebraska,1976,3269
West,Mountain,Nevada,1976,4215
Northeast,New England,New Hampshire,1976,709
Northeast,Middle Atlantic,New Jersey,1976,29107
West,Mountain,New Mexico,1976,6475
Northeast,Middle Atlantic,New York,1976,156988
South,South Atlantic,North Carolina,1976,22061
Midwest,West North Central,North Dakota,1976,462
Midwest,East North Central,Ohio,1976,41553
South,West South Central,Oklahoma,1976,7926
West,Pacific,Oregon,1976,10654
Northeast,Middle Atlantic,Pennsylvania,1976,34985
Northeast,New England,Rhode Island,1976,2779
South,South Atlantic,South Carolina,1976,17065
Midwest,West North Central,South Dakota,1976,1277
South,East South Central,Tennessee,1976,16574
South,West South Central,Texas,1976,44422
West,Mountain,Utah,1976,2709
Northeast,New England,Vermont,1976,563
South,South Atlantic,Virginia,1976,15485
West,Pacific,Washington,1976,14036
South,South Atlantic,West Virginia,1976,2761
Midwest,East North Central,Wisconsin,1976,6345
West,Mountain,Wyoming,1976,851
South,East South Central,Alabama,1977,15293
West,Pacific,Alaska,1977,1804
West,Mountain,Arizona,1977,11347
South,West South Central,Arkansas,1977,6924
West,Pacific,California,1977,154582
West,Mountain,Colorado,1977,13407
Northeast,New England,Connecticut,1977,8774
South,South Atlantic,Delaware,1977,2224
South,South Atlantic,District of Columbia,1977,9843
South,South Atlantic,Florida,1977,58052
South,South Atlantic,Georgia,1977,22203
West,Pacific,Hawaii,1977,2012
West,Mountain,Idaho,1977,2030
Midwest,East North Central,Illinois,1977,70910
Midwest,East North Central,Indiana,1977,16553
Midwest,West North Central,Iowa,1977,4145
Midwest,West North Central,Kansas,1977,7206
South,East South Central,Kentucky,1977,8077
South,West South Central,Louisiana,1977,20577
Northeast,New England,Maine,1977,2438
South,South Atlantic,Maryland,1977,28716
Northeast,New England,Massachusetts,1977,24593
Midwest,East North Central,Michigan,1977,53381
Midwest,West North Central,Minnesota,1977,7705
South,East South Central,Mississippi,1977,6896
Midwest,West North Central,Missouri,1977,22105
West,Mountain,Montana,1977,1659
Midwest,West North Central,Nebraska,1977,3113
West,Mountain,Nevada,1977,4703
Northeast,New England,New Hampshire,1977,960
Northeast,Middle Atlantic,New Jersey,1977,28732
West,Mountain,New Mexico,1977,5961
Northeast,Middle Atlantic,New York,1977,149087
South,South Atlantic,North Carolina,1977,22492
Midwest,West North Central,North Dakota,1977,438
Midwest,East North Central,Ohio,1977,43521
South,West South Central,Oklahoma,1977,8899
West,Pacific,Oregon,1977,10830
Northeast,Middle Atlantic,Pennsylvania,1977,33328
Northeast,New England,Rhode Island,1977,2820
South,South Atlantic,South Carolina,1977,18297
Midwest,West North Central,South Dakota,1977,1303
South,East South Central,Tennessee,1977,16743
South,West South Central,Texas,1977,52309
West,Mountain,Utah,1977,3043
Northeast,New England,Vermont,1977,722
South,South Atlantic,Virginia,1977,14893
West,Pacific,Washington,1977,13714
South,South Atlantic,West Virginia,1977,2832
Midwest,East North Central,Wisconsin,1977,6117
West,Mountain,Wyoming,1977,978
South,East South Central,Alabama,1978,15682
West,Pacific,Alaska,1978,1781
West,Mountain,Arizona,1978,12996
South,West South Central,Arkansas,1978,7522
West,Pacific,California,1978,165626
West,Mountain,Colorado,1978,13296
Northeast,New England,Connecticut,1978,9762
South,South Atlantic,Delaware,1978,2569
South,South Atlantic,District of Columbia,1978,9515
South,South Atlantic,Florida,1978,65792
South,South Atlantic,Georgia,1978,24545
West,Pacific,Hawaii,1978,2423
West,Mountain,Idaho,1978,2076
Midwest,East North Central,Illinois,1978,76084
Midwest,East North Central,Indiana,1978,17383
Midwest,West North Central,Iowa,1978,4674
Midwest,West North Central,Kansas,1978,7471
South,East South Central,Kentucky,1978,7807
South,West South Central,Louisiana,1978,23197
Northeast,New England,Maine,1978,2266
South,South Atlantic,Maryland,1978,30328
Northeast,New England,Massachusetts,1978,26673
Midwest,East North Central,Michigan,1978,53040
Midwest,West North Central,Minnesota,1978,7601
South,East South Central,Mississippi,1978,7721
Midwest,West North Central,Missouri,1978,22738
West,Mountain,Montana,1978,1865
Midwest,West North Central,Nebraska,1978,2982
West,Mountain,Nevada,1978,5153
Northeast,New England,New Hampshire,1978,1035
Northeast,Middle Atlantic,New Jersey,1978,31027
West,Mountain,New Mexico,1978,6402
Northeast,Middle Atlantic,New York,1978,149257
South,South Atlantic,North Carolina,1978,23054
Midwest,West North Central,North Dakota,1978,437
Midwest,East North Central,Ohio,1978,44357
South,West South Central,Oklahoma,1978,10165
West,Pacific,Oregon,1978,12278
Northeast,Middle Atlantic,Pennsylvania,1978,35381
Northeast,New England,Rhode Island,1978,3255
South,South Atlantic,South Carolina,1978,18604
Midwest,West North Central,South Dakota,1978,1128
South,East South Central,Tennessee,1978,16671
South,West South Central,Texas,1978,56650
West,Mountain,Utah,1978,3552
Northeast,New England,Vermont,1978,810
South,South Atlantic,Virginia,1978,14743
West,Pacific,Washington,1978,15296
South,South Atlantic,West Virginia,1978,3120
Midwest,East North Central,Wisconsin,1978,6184
West,Mountain,Wyoming,1978,1189
South,East South Central,Alabama,1979,15578
West,Pacific,Alaska,1979,1994
West,Mountain,Arizona,1979,14528
South,West South Central,Arkansas,1979,7984
West,Pacific,California,1979,184087
West,Mountain,Colorado,1979,14472
Northeast,New England,Connecticut,1979,12902
South,South Atlantic,Delaware,1979,3127
South,South Atlantic,District of Columbia,1979,10553
South,South Atlantic,Florida,1979,73881
South,South Atlantic,Georgia,1979,28594
West,Pacific,Hawaii,1979,2651
West,Mountain,Idaho,1979,2613
Midwest,East North Central,Illinois,1979,83540
Midwest,East North Central,Indiana,1979,18254
Midwest,West North Central,Iowa,1979,5259
Midwest,West North Central,Kansas,1979,8376
South,East South Central,Kentucky,1979,8748
South,West South Central,Louisiana,1979,27229
Northeast,New England,Maine,1979,2221
South,South Atlantic,Maryland,1979,33007
Northeast,New England,Massachusetts,1979,30650
Midwest,East North Central,Michigan,1979,56558
Midwest,West North Central,Minnesota,1979,8973
South,East South Central,Mississippi,1979,7786
Midwest,West North Central,Missouri,1979,25662
West,Mountain,Montana,1979,1762
Midwest,West North Central,Nebraska,1979,3556
West,Mountain,Nevada,1979,5866
Northeast,New England,New Hampshire,1979,1241
Northeast,Middle Atlantic,New Jersey,1979,36747
West,Mountain,New Mexico,1979,7272
Northeast,Middle Atlantic,New York,1979,161906
South,South Atlantic,North Carolina,1979,25009
Midwest,West North Central,North Dakota,1979,403
Midwest,East North Central,Ohio,1979,49092
South,West South Central,Oklahoma,1979,11719
West,Pacific,Oregon,1979,13781
Northeast,Middle Atlantic,Pennsylvania,1979,39133
Northeast,New England,Rhode Island,1979,3485
South,South Atlantic,South Carolina,1979,19889
Midwest,West North Central,South Dakota,1979,1096
South,East South Central,Tennessee,1979,18135
South,West South Central,Texas,1979,67988
West,Mountain,Utah,1979,4158
Northeast,New England,Vermont,1979,908
South,South Atlantic,Virginia,1979,15642
West,Pacific,Washington,1979,17064
South,South Atlantic,West Virginia,1979,3156
Midwest,East North Central,Wisconsin,1979,7839
West,Mountain,Wyoming,1979,1579
South,East South Central,Alabama,1980,17320
West,Pacific,Alaska,1980,1919
West,Mountain,Arizona,1980,17673
South,West South Central,Arkansas,1980,7656
West,Pacific,California,1980,210290
West,Mountain,Colorado,1980,15215
Northeast,New England,Connecticut,1980,12768
South,South Atlantic,Delaware,1980,2824
South,South Atlantic,District of Columbia,1980,12772
South,South Atlantic,Florida,1980,94095
South,South Atlantic,Georgia,1980,29993
West,Pacific,Hawaii,1980,2889
West,Mountain,Idaho,1980,2957
Midwest,East North Central,Illinois,1980,91753
Midwest,East North Central,Indiana,1980,20633
Midwest,West North Central,Iowa,1980,5826
Midwest,West North Central,Kansas,1980,9168
South,East South Central,Kentucky,1980,9711
South,West South Central,Louisiana,1980,27926
Northeast,New England,Maine,1980,2173
South,South Atlantic,Maryland,1980,35735
Northeast,New England,Massachusetts,1980,34444
Midwest,East North Central,Michigan,1980,59014
Midwest,West North Central,Minnesota,1980,9250
South,East South Central,Mississippi,1980,8588
Midwest,West North Central,Missouri,1980,27177
West,Mountain,Montana,1980,1740
Midwest,West North Central,Nebraska,1980,3512
West,Mountain,Nevada,1980,7304
Northeast,New England,New Hampshire,1980,1653
Northeast,Middle Atlantic,New Jersey,1980,44373
West,Mountain,New Mexico,1980,7967
Northeast,Middle Atlantic,New York,1980,180235
South,South Atlantic,North Carolina,1980,26589
Midwest,West North Central,North Dakota,1980,352
Midwest,East North Central,Ohio,1980,53646
South,West South Central,Oklahoma,1980,12589
West,Pacific,Oregon,1980,12802
Northeast,Middle Atlantic,Pennsylvania,1980,43032
Northeast,New England,Rhode Island,1980,3864
South,South Atlantic,South Carolina,1980,20225
Midwest,West North Central,South Dakota,1980,873
South,East South Central,Tennessee,1980,20824
South,West South Central,Texas,1980,77978
West,Mountain,Utah,1980,4425
Northeast,New England,Vermont,1980,914
South,South Atlantic,Virginia,1980,16355
West,Pacific,Washington,1980,19098
South,South Atlantic,West Virginia,1980,3547
Midwest,East North Central,Wisconsin,1980,8546
West,Mountain,Wyoming,1980,1841
South,East South Central,Alabama,1981,18423
West,Pacific,Alaska,1981,2537
West,Mountain,Arizona,1981,16082
South,West South Central,Arkansas,1981,7119
West,Pacific,California,1981,208485
West,Mountain,Colorado,1981,15755
Northeast,New England,Connecticut,1981,14033
South,South Atlantic,Delaware,1981,3044
South,South Atlantic,District of Columbia,1981,14468
South,South Atlantic,Florida,1981,98109
South,South Atlantic,Georgia,1981,30527
West,Pacific,Hawaii,1981,2424
West,Mountain,Idaho,1981,2717
Midwest,East North Central,Illinois,1981,90781
Midwest,East North Central,Indiana,1981,18672
Midwest,West North Central,Iowa,1981,5915
Midwest,West North Central,Kansas,1981,8796
South,East South Central,Kentucky,1981,10599
South,West South Central,Louisiana,1981,27478
Northeast,New England,Maine,1981,2214
South,South Atlantic,Maryland,1981,37800
Northeast,New England,Massachusetts,1981,36273
Midwest,East North Central,Michigan,1981,59058
Midwest,West North Central,Minnesota,1981,9344
South,East South Central,Mississippi,1981,7706
Midwest,West North Central,Missouri,1981,26675
West,Mountain,Montana,1981,2004
Midwest,West North Central,Nebraska,1981,2861
West,Mountain,Nevada,1981,7575
Northeast,New England,New Hampshire,1981,1375
Northeast,Middle Atlantic,New Jersey,1981,46674
West,Mountain,New Mexico,1981,8913
Northeast,Middle Atlantic,New York,1981,188178
South,South Atlantic,North Carolina,1981,25986
Midwest,West North Central,North Dakota,1981,444
Midwest,East North Central,Ohio,1981,53509
South,West South Central,Oklahoma,1981,13223
West,Pacific,Oregon,1981,12671
Northeast,Middle Atlantic,Pennsylvania,1981,44104
Northeast,New England,Rhode Island,1981,4205
South,South Atlantic,South Carolina,1981,20275
Midwest,West North Central,South Dakota,1981,718
South,East South Central,Tennessee,1981,19019
South,West South Central,Texas,1981,78560
West,Mountain,Utah,1981,4527
Northeast,New England,Vermont,1981,659
South,South Atlantic,Virginia,1981,17456
West,Pacific,Washington,1981,18839
South,South Atlantic,West Virginia,1981,3410
Midwest,East North Central,Wisconsin,1981,8904
West,Mountain,Wyoming,1981,2116
South,East South Central,Alabama,1982,17653
West,Pacific,Alaska,1982,2732
West,Mountain,Arizona,1982,14785
South,West South Central,Arkansas,1982,7438
West,Pacific,California,1982,201429
West,Mountain,Colorado,1982,15354
Northeast,New England,Connecticut,1982,12597
South,South Atlantic,Delaware,1982,3370
South,South Atlantic,District of Columbia,1982,13397
South,South Atlantic,Florida,1982,93411
South,South Atlantic,Georgia,1982,26963
West,Pacific,Hawaii,1982,2542
West,Mountain,Idaho,1982,2501
Midwest,East North Central,Illinois,1982,88644
Midwest,East North Central,Indiana,1982,16444
Midwest,West North Central,Iowa,1982,5018
Midwest,West North Central,Kansas,1982,8088
South,East South Central,Kentucky,1982,11550
South,West South Central,Louisiana,1982,29185
Northeast,New England,Maine,1982,1847
South,South Atlantic,Maryland,1982,36254
Northeast,New England,Massachusetts,1982,33031
Midwest,East North Central,Michigan,1982,59806
Midwest,West North Central,Minnesota,1982,9062
South,East South Central,Mississippi,1982,7515
Midwest,West North Central,Missouri,1982,25078
West,Mountain,Montana,1982,1801
Midwest,West North Central,Nebraska,1982,3641
West,Mountain,Nevada,1982,7096
Northeast,New England,New Hampshire,1982,1187
Northeast,Middle Atlantic,New Jersey,1982,45175
West,Mountain,New Mexico,1982,9982
Northeast,Middle Atlantic,New York,1982,174833
South,South Atlantic,North Carolina,1982,26865
Midwest,West North Central,North Dakota,1982,414
Midwest,East North Central,Ohio,1982,47126
South,West South Central,Oklahoma,1982,14103
West,Pacific,Oregon,1982,12529
Northeast,Middle Atlantic,Pennsylvania,1982,42767
Northeast,New England,Rhode Island,1982,3849
South,South Atlantic,South Carolina,1982,23061
Midwest,West North Central,South Dakota,1982,684
South,East South Central,Tennessee,1982,19586
South,West South Central,Texas,1982,88178
West,Mountain,Utah,1982,4440
Northeast,New England,Vermont,1982,655
South,South Atlantic,Virginia,1982,16970
West,Pacific,Washington,1982,17251
South,South Atlantic,West Virginia,1982,3405
Midwest,East North Central,Wisconsin,1982,9077
West,Mountain,Wyoming,1982,1527
South,East South Central,Alabama,1983,16471
West,Pacific,Alaska,1983,2940
West,Mountain,Arizona,1983,14642
South,West South Central,Arkansas,1983,6930
West,Pacific,California,1983,194491
West,Mountain,Colorado,1983,14955
Northeast,New England,Connecticut,1983,11767
South,South Atlantic,Delaware,1983,2746
South,South Atlantic,District of Columbia,1983,11933
South,South Atlantic,Florida,1983,88292
South,South Atlantic,Georgia,1983,26179
West,Pacific,Hawaii,1983,2579
West,Mountain,Idaho,1983,2361
Midwest,East North Central,Illinois,1983,83629
Midwest,East North Central,Indiana,1983,15547
Midwest,West North Central,Iowa,1983,5262
Midwest,West North Central,Kansas,1983,7919
South,East South Central,Kentucky,1983,11967
South,West South Central,Louisiana,1983,28444
Northeast,New England,Maine,1983,1829
South,South Atlantic,Maryland,1983,34736
Northeast,New England,Massachusetts,1983,33264
Midwest,East North Central,Michigan,1983,64993
Midwest,West North Central,Minnesota,1983,7909
South,East South Central,Mississippi,1983,7255
Midwest,West North Central,Missouri,1983,23718
West,Mountain,Montana,1983,1737
Midwest,West North Central,Nebraska,1983,3477
West,Mountain,Nevada,1983,5838
Northeast,New England,New Hampshire,1983,1200
Northeast,Middle Atlantic,New Jersey,1983,41304
West,Mountain,New Mexico,1983,9608
Northeast,Middle Atlantic,New York,1983,161489
South,South Atlantic,North Carolina,1983,24911
Midwest,West North Central,North Dakota,1983,365
Midwest,East North Central,Ohio,1983,42759
South,West South Central,Oklahoma,1983,13964
West,Pacific,Oregon,1983,12986
Northeast,Middle Atlantic,Pennsylvania,1983,40782
Northeast,New England,Rhode Island,1983,3392
South,South Atlantic,South Carolina,1983,20133
Midwest,West North Central,South Dakota,1983,840
South,East South Central,Tennessee,1983,18836
South,West South Central,Texas,1983,80546
West,Mountain,Utah,1983,4144
Northeast,New England,Vermont,1983,696
South,South Atlantic,Virginia,1983,16236
West,Pacific,Washington,1983,15986
South,South Atlantic,West Virginia,1983,3375
Midwest,East North Central,Wisconsin,1983,9070
West,Mountain,Wyoming,1983,1219
South,East South Central,Alabama,1984,17204
West,Pacific,Alaska,1984,3108
West,Mountain,Arizona,1984,15756
South,West South Central,Arkansas,1984,7549
West,Pacific,California,1984,195589
West,Mountain,Colorado,1984,14548
Northeast,New England,Connecticut,1984,12422
South,South Atlantic,Delaware,1984,2671
South,South Atlantic,District of Columbia,1984,10725
South,South Atlantic,Florida,1984,95270
South,South Atlantic,Georgia,1984,27935
West,Pacific,Hawaii,1984,2409
West,Mountain,Idaho,1984,2355
Midwest,East North Central,Illinois,1984,83441
Midwest,East North Central,Indiana,1984,16781
Midwest,West North Central,Iowa,1984,5781
Midwest,West North Central,Kansas,1984,8147
South,East South Central,Kentucky,1984,10342
South,West South Central,Louisiana,1984,30251
Northeast,New England,Maine,1984,1832
South,South Atlantic,Maryland,1984,34455
Northeast,New England,Massachusetts,1984,30362
Midwest,East North Central,Michigan,1984,68979
Midwest,West North Central,Minnesota,1984,8802
South,East South Central,Mississippi,1984,7326
Midwest,West North Central,Missouri,1984,23071
West,Mountain,Montana,1984,1958
Midwest,West North Central,Nebraska,1984,3627
West,Mountain,Nevada,1984,5726
Northeast,New England,New Hampshire,1984,1308
Northeast,Middle Atlantic,New Jersey,1984,39659
West,Mountain,New Mexico,1984,9798
Northeast,Middle Atlantic,New York,1984,162157
South,South Atlantic,North Carolina,1984,24885
Midwest,West North Central,North Dakota,1984,368
Midwest,East North Central,Ohio,1984,41430
South,West South Central,Oklahoma,1984,13438
West,Pacific,Oregon,1984,13533
Northeast,Middle Atlantic,Pennsylvania,1984,38154
Northeast,New England,Rhode Island,1984,3220
South,South Atlantic,South Carolina,1984,20607
Midwest,West North Central,South Dakota,1984,1041
South,East South Central,Tennessee,1984,21010
South,West South Central,Texas,1984,80737
West,Mountain,Utah,1984,4035
Northeast,New England,Vermont,1984,769
South,South Atlantic,Virginia,1984,16660
West,Pacific,Washington,1984,17676
South,South Atlantic,West Virginia,1984,3283
Midwest,East North Central,Wisconsin,1984,9367
West,Mountain,Wyoming,1984,1237
South,East South Central,Alabama,1985,18398
West,Pacific,Alaska,1985,3031
West,Mountain,Arizona,1985,19202
South,West South Central,Arkansas,1985,8199
West,Pacific,California,1985,201763
West,Mountain,Colorado,1985,15219
Northeast,New England,Connecticut,1985,12758
South,South Atlantic,Delaware,1985,2695
South,South Atlantic,District of Columbia,1985,10171
South,South Atlantic,Florida,1985,106971
South,South Atlantic,Georgia,1985,30311
West,Pacific,Hawaii,1985,2313
West,Mountain,Idaho,1985,2360
Midwest,East North Central,Illinois,1985,82448
Midwest,East North Central,Indiana,1985,17014
Midwest,West North Central,Iowa,1985,6106
Midwest,West North Central,Kansas,1985,8716
South,East South Central,Kentucky,1985,11384
South,West South Central,Louisiana,1985,31108
Northeast,New England,Maine,1985,1950
South,South Atlantic,Maryland,1985,36655
Northeast,New England,Massachusetts,1985,31334
Midwest,East North Central,Michigan,1985,66714
Midwest,West North Central,Minnesota,1985,10751
South,East South Central,Mississippi,1985,7079
Midwest,West North Central,Missouri,1985,25321
West,Mountain,Montana,1985,1722
Midwest,West North Central,Nebraska,1985,3821
West,Mountain,Nevada,1985,6244
Northeast,New England,New Hampshire,1985,1405
Northeast,Middle Atlantic,New Jersey,1985,41172
West,Mountain,New Mexico,1985,10207
Northeast,Middle Atlantic,New York,1985,165365
South,South Atlantic,North Carolina,1985,26327
Midwest,West North Central,North Dakota,1985,322
Midwest,East North Central,Ohio,1985,41000
South,West South Central,Oklahoma,1985,13930
West,Pacific,Oregon,1985,14807
Northeast,Middle Atlantic,Pennsylvania,1985,39240
Northeast,New England,Rhode Island,1985,3355
South,South Atlantic,South Carolina,1985,21121
Midwest,West North Central,South Dakota,1985,967
South,East South Central,Tennessee,1985,22592
South,West South Central,Texas,1985,90030
West,Mountain,Utah,1985,4398
Northeast,New England,Vermont,1985,790
South,South Atlantic,Virginia,1985,16813
West,Pacific,Washington,1985,18757
South,South Atlantic,West Virginia,1985,3214
Midwest,East North Central,Wisconsin,1985,9880
West,Mountain,Wyoming,1985,1307
South,East South Central,Alabama,1986,22616
West,Pacific,Alaska,1986,3046
West,Mountain,Arizona,1986,21835
South,West South Central,Arkansas,1986,9365
West,Pacific,California,1986,248370
West,Mountain,Colorado,1986,17105
Northeast,New England,Connecticut,1986,13578
South,South Atlantic,Delaware,1986,2703
South,South Atlantic,District of Columbia,1986,9423
South,South Atlantic,Florida,1986,121013
South,South Atlantic,Georgia,1986,35869
West,Pacific,Hawaii,1986,2604
West,Mountain,Idaho,1986,2232
Midwest,East North Central,Illinois,1986,93454
Midwest,East North Central,Indiana,1986,16937
Midwest,West North Central,Iowa,1986,6703
Midwest,West North Central,Kansas,1986,9076
South,East South Central,Kentucky,1986,12467
South,West South Central,Louisiana,1986,34128
Northeast,New England,Maine,1986,1726
South,South Atlantic,Maryland,1986,37177
Northeast,New England,Massachusetts,1986,32476
Midwest,East North Central,Michigan,1986,73517
Midwest,West North Central,Minnesota,1986,11991
South,East South Central,Mississippi,1986,7196
Midwest,West North Central,Missouri,1986,29310
West,Mountain,Montana,1986,1289
Midwest,West North Central,Nebraska,1986,4196
West,Mountain,Nevada,1986,6923
Northeast,New England,New Hampshire,1986,1433
Northeast,Middle Atlantic,New Jersey,1986,43623
West,Mountain,New Mexico,1986,10731
Northeast,Middle Atlantic,New York,1986,175210
South,South Atlantic,North Carolina,1986,30128
Midwest,West North Central,North Dakota,1986,348
Midwest,East North Central,Ohio,1986,45260
South,West South Central,Oklahoma,1986,14423
West,Pacific,Oregon,1986,14830
Northeast,Middle Atlantic,Pennsylvania,1986,42629
Northeast,New England,Rhode Island,1986,3271
South,South Atlantic,South Carolina,1986,22789
Midwest,West North Central,South Dakota,1986,883
South,East South Central,Tennessee,1986,25919
South,West South Central,Texas,1986,109925
West,Mountain,Utah,1986,4441
Northeast,New England,Vermont,1986,807
South,South Atlantic,Virginia,1986,17708
West,Pacific,Washington,1986,19505
South,South Atlantic,West Virginia,1986,3156
Midwest,East North Central,Wisconsin,1986,12339
West,Mountain,Wyoming,1986,1486
South,East South Central,Alabama,1987,22833
West,Pacific,Alaska,1987,2391
West,Mountain,Arizona,1987,20742
South,West South Central,Arkansas,1987,9839
West,Pacific,California,1987,253943
West,Mountain,Colorado,1987,15409
Northeast,New England,Connecticut,1987,13455
South,South Atlantic,Delaware,1987,2774
South,South Atlantic,District of Columbia,1987,10016
South,South Atlantic,Florida,1987,123168
South,South Atlantic,Georgia,1987,35868
West,Pacific,Hawaii,1987,2851
West,Mountain,Idaho,1987,2138
Midwest,East North Central,Illinois,1987,92216
Midwest,East North Central,Indiana,1987,18169
Midwest,West North Central,Iowa,1987,6553
Midwest,West North Central,Kansas,1987,8932
South,East South Central,Kentucky,1987,12589
South,West South Central,Louisiana,1987,30916
Northeast,New England,Maine,1987,1806
South,South Atlantic,Maryland,1987,34820
Northeast,New England,Massachusetts,1987,33060
Midwest,East North Central,Michigan,1987,71772
Midwest,West North Central,Minnesota,1987,12118
South,East South Central,Mississippi,1987,7081
Midwest,West North Central,Missouri,1987,27792
West,Mountain,Montana,1987,1223
Midwest,West North Central,Nebraska,1987,4004
West,Mountain,Nevada,1987,7006
Northeast,New England,New Hampshire,1987,1581
Northeast,Middle Atlantic,New Jersey,1987,41507
